週次,星期,訓練項目,時間,操作說明
第1週,週一,熱身：水中慢走＋手擺動,5分鐘,在水中以自然步伐前行，配合手臂向前向後擺動，喚醒全身肌肉
第1週,週一,核心有氧：高抬腿原地跑步＋側走,10分鐘,各做1分鐘循環，共兩輪，側走注意跨步穩定
第1週,週一,浮板踢水（無需換氣）,5分鐘,抱浮板，面部出水練習踢水，練腿與呼吸節奏
第1週,週一,肌力訓練：抬腿/側抬腿,10分鐘,扶牆單腳緩慢抬腿，每側15下×2組
第1週,週一,浮條阻力訓練：胸前推拉、下壓,5分鐘,雙手抓浮條推水、下壓，慢慢控制動作
第1週,週一,緩和拉筋,5分鐘,小腿拉伸：面對池壁，雙手扶牆，一腳向後踩直；股四頭肌拉伸：單腳拉膝後貼臀；肩部伸展：單手橫過胸前拉伸
第1週,週二,熱身：水中慢走＋手擺動,5分鐘,在水中以自然步伐前行，配合手臂向前向後擺動，喚醒全身肌肉
第1週,週二,核心有氧：高抬腿原地跑步＋側走,10分鐘,各做1分鐘循環，共兩輪，側走注意跨步穩定
第1週,週二,浮板踢水（無需換氣）,5分鐘,抱浮板，面部出水練習踢水，練腿與呼吸節奏
第1週,週二,肌力訓練：抬腿/側抬腿,10分鐘,扶牆單腳緩慢抬腿，每側15下×2組
第1週,週二,浮條阻力訓練：胸前推拉、下壓,5分鐘,雙手抓浮條推水、下壓，慢慢控制動作
第1週,週二,緩和拉筋,5分鐘,小腿拉伸：面對池壁，雙手扶牆，一腳向後踩直；股四頭肌拉伸：單腳拉膝後貼臀；肩部伸展：單手橫過胸前拉伸
第2週,週一,熱身：加快步伐＋手劃圈,5分鐘,步伐加快些，並加入手臂畫圓的動作
第2週,週一,核心有氧：高抬腿＋跨步跳,12分鐘,多加入輕柔跨步跳，注意膝蓋著地緩慢
第2週,週一,浮板踢水＋手滑水,6分鐘,增加手部滑水動作（仿自由式）
第2週,週一,肌力訓練：抬腿＋後抬腿,12分鐘,加入臀部後抬腿，強化後鏈肌群
第2週,週一,浮條阻力訓練：加圈畫水與浮條夾腿,6分鐘,手劃圈×1組、浮條夾腿10次×2組
第2週,週一,緩和拉筋,5分鐘,髖屈肌伸展：單膝跪姿身體前壓；腿後肌群伸展：一腳踩牆前傾；胸肌拉伸：手貼牆身體外轉
第2週,週二,熱身：加快步伐＋手劃圈,5分鐘,步伐加快些，並加入手臂畫圓的動作
第2週,週二,核心有氧：高抬腿＋跨步跳,12分鐘,多加入輕柔跨步跳，注意膝蓋著地緩慢
第2週,週二,浮板踢水＋手滑水,6分鐘,增加手部滑水動作（仿自由式）
第2週,週二,肌力訓練：抬腿＋後抬腿,12分鐘,加入臀部後抬腿，強化後鏈肌群
第2週,週二,浮條阻力訓練：加圈畫水與浮條夾腿,6分鐘,手劃圈×1組、浮條夾腿10次×2組
第2週,週二,緩和拉筋,5分鐘,髖屈肌伸展：單膝跪姿身體前壓；腿後肌群伸展：一腳踩牆前傾；胸肌拉伸：手貼牆身體外轉
第3週,週一,熱身：側走快走組合,5分鐘,側走與正向走交替，各30秒交替
第3週,週一,核心有氧：原地快步＋水中操動作（開合跳）,14分鐘,開合跳×1分鐘，原地跑×1分鐘，循環三次
第3週,週一,浮板踢水：短距加速段,7分鐘,每段踢水5公尺加速，再休息15秒
第3週,週一,肌力訓練：單腳站立＋抬腿,12分鐘,平衡訓練，抬腿動作保持平衡姿勢
第3週,週一,浮條阻力：雙手畫圈＋腳踩壓浮條,6分鐘,畫圈20下，腳踩浮條保持5秒×5次
第3週,週一,緩和拉筋,5分鐘,內收肌伸展：兩腳打開蹲坐姿；臀大肌拉伸：單腿抬至對側膝上前傾；背部伸展：雙手前推背部微彎
第3週,週二,熱身：側走快走組合,5分鐘,側走與正向走交替，各30秒交替
第3週,週二,核心有氧：原地快步＋水中操動作（開合跳）,14分鐘,開合跳×1分鐘，原地跑×1分鐘，循環三次
第3週,週二,浮板踢水：短距加速段,7分鐘,每段踢水5公尺加速，再休息15秒
第3週,週二,肌力訓練：單腳站立＋抬腿,12分鐘,平衡訓練，抬腿動作保持平衡姿勢
第3週,週二,浮條阻力：雙手畫圈＋腳踩壓浮條,6分鐘,畫圈20下，腳踩浮條保持5秒×5次
第3週,週二,緩和拉筋,5分鐘,內收肌伸展：兩腳打開蹲坐姿；臀大肌拉伸：單腿抬至對側膝上前傾；背部伸展：雙手前推背部微彎
第4週,週一,熱身：原地慢跑＋跳躍手勢,5分鐘,在水中做出手腳協調的動作增加熱度
第4週,週一,核心有氧：快慢節奏交替（類HIIT）,15分鐘,快跑30秒＋慢走30秒×6組
第4週,週一,浮板踢水＋換氣練習,8分鐘,練習側頭吸氣，配合短踢水段
第4週,週一,肌力訓練：抬腿、蹲坐（淺）與夾腿浮條,12分鐘,浮條夾腿強化大腿內側
第4週,週一,浮條阻力：完整動作循環,8分鐘,推、拉、畫圈、踩壓各做一組
第4週,週一,緩和拉筋,5分鐘,胸腰伸展：雙手上舉向後彎；肩頸放鬆：頭側傾轉動放鬆斜方肌；踝關節活動：腳尖畫圈轉動
第4週,週二,熱身：原地慢跑＋跳躍手勢,5分鐘,在水中做出手腳協調的動作增加熱度
第4週,週二,核心有氧：快慢節奏交替（類HIIT）,15分鐘,快跑30秒＋慢走30秒×6組
第4週,週二,浮板踢水＋換氣練習,8分鐘,練習側頭吸氣，配合短踢水段
第4週,週二,肌力訓練：抬腿、蹲坐（淺）與夾腿浮條,12分鐘,浮條夾腿強化大腿內側
第4週,週二,浮條阻力：完整動作循環,8分鐘,推、拉、畫圈、踩壓各做一組
第4週,週二,緩和拉筋,5分鐘,胸腰伸展：雙手上舉向後彎；肩頸放鬆：頭側傾轉動放鬆斜方肌；踝關節活動：腳尖畫圈轉動
